	log2FoldChange	pvalue	padj
ENSG00000160213	-1.20385834725467	0.00317059258918306	0.419747016029215
ENSG00000120217	1.18248464687183	0.00319223977513502	0.420600392086718
ENSG00000226067	-1.1254294602965	0.0033845856808385	0.42112635395158
ENSG00000229035	-5.0323282757637	0.00338462179157456	0.42112635395158
ENSG00000144460	1.55136074451248	0.00338339480365338	0.42112635395158
ENSG00000271207	-2.32899247038416	0.00336511112905763	0.42112635395158
ENSG00000161896	1.93422470850648	0.00330654277063151	0.42112635395158
ENSG00000124780	1.69669160467567	0.00326712208322774	0.42112635395158
ENSG00000230204	-5.28797130968324	0.00335613851190408	0.42112635395158
ENSG00000177679	1.47008346449633	0.00340931379107137	0.42112635395158
ENSG00000259358	1.84366832856144	0.00339627167808197	0.42112635395158
ENSG00000117899	-0.280192049151513	0.00340194149102549	0.42112635395158
ENSG00000263648	1.15970227905457	0.00329244372165848	0.42112635395158
ENSG00000198972	1.96143808085083	0.00340915048462542	0.42112635395158
ENSG00000224715	-2.23330909795501	0.0032660701683206	0.42112635395158
ENSG00000215533	-2.00606782966352	0.00333183734413532	0.42112635395158
ENSG00000163873	1.60189622932044	0.00369913116116699	0.430356458143631
ENSG00000162433	-1.2021167048729	0.00357416933618942	0.430356458143631
ENSG00000152760	1.41099322303403	0.00367229559533421	0.430356458143631
ENSG00000131788	-0.495087123333697	0.00355765518114633	0.430356458143631
ENSG00000231615	0.886656867904386	0.0036132201520335	0.430356458143631
ENSG00000277893	1.96579284321363	0.00363502321910074	0.430356458143631
ENSG00000249784	-1.37996118224885	0.00382623837889086	0.430356458143631
ENSG00000138741	1.17388306334901	0.00369576041366163	0.430356458143631
ENSG00000189056	1.58740975969608	0.003667273502984	0.430356458143631
ENSG00000260118	-1.43713674047261	0.00356812606229476	0.430356458143631
ENSG00000067840	1.37968377109081	0.00381671905894105	0.430356458143631
ENSG00000168004	-2.02933252430541	0.00379681061925942	0.430356458143631
ENSG00000165325	1.75147565931286	0.003544457331814	0.430356458143631
ENSG00000241352	-1.40718360547693	0.00380085079262245	0.430356458143631
ENSG00000170426	-2.83743688586181	0.00351845873803116	0.430356458143631
ENSG00000183092	1.40235326822129	0.00382398198429505	0.430356458143631
ENSG00000259630	0.804358160853989	0.00382633639025974	0.430356458143631
ENSG00000260646	1.4972388638366	0.00358747643901698	0.430356458143631
ENSG00000103056	1.34793743141956	0.00377553416103085	0.430356458143631
ENSG00000141429	-0.627642664242356	0.00373118899752811	0.430356458143631
ENSG00000177511	4.088701355391	0.00366855885770505	0.430356458143631
ENSG00000175730	1.32645641480788	0.00384177401284748	0.430356458143631
ENSG00000188868	-0.505415977450975	0.00378567873629332	0.430356458143631
ENSG00000251039	2.88986407126267	0.00386036243548628	0.430695033175281
ENSG00000152492	0.602577049059997	0.00395436636057434	0.437653451322926
ENSG00000126262	-1.93277515334873	0.00394331161738379	0.437653451322926
ENSG00000234155	-2.42742088755088	0.0039710707948119	0.437751226381077
ENSG00000204936	-2.00585427852329	0.00401051389222914	0.440344876524159
ENSG00000143376	-0.37624554397978	0.00403055798111716	0.440536592639768
ENSG00000170965	-2.02611725314279	0.00407456240069584	0.440536592639768
ENSG00000121653	0.98445065463879	0.00407594664482925	0.440536592639768
ENSG00000275888	-1.40907512169783	0.00406580380865255	0.440536592639768
ENSG00000264322	1.49251574512578	0.00412705667553469	0.444325023950853
ENSG00000241188	-1.94423741322868	0.00415464006602924	0.445560992197531
ENSG00000152932	1.47783478774921	0.00421578755104588	0.448640868268802
ENSG00000196118	0.845068786669718	0.00421267790165395	0.448640868268802
ENSG00000189127	-2.37563503813879	0.00426234166444985	0.448996888639149
ENSG00000101856	-0.589625911542342	0.00430027017562523	0.448996888639149
ENSG00000059915	1.03266504611367	0.00425282357553996	0.448996888639149
ENSG00000124104	-0.838426807979675	0.00428648095130165	0.448996888639149
ENSG00000224420	0.900880631286023	0.00427343379147221	0.448996888639149
ENSG00000233579	1.36886945004819	0.0043223826828273	0.44960904680883
ENSG00000174236	-0.953235362711701	0.00434542554647531	0.450313031630806
ENSG00000278928	-3.51008703750963	0.00436431145762957	0.450458784000714
ENSG00000260186	2.33980525298379	0.00437939256554961	0.450458784000714
ENSG00000135519	1.48399459279755	0.00440480734415147	0.451394868167878
ENSG00000134207	1.72980093212192	0.00462470054438505	0.454611825205162
ENSG00000180667	-0.848388956222634	0.00458357036165699	0.454611825205162
ENSG00000144278	1.7297089667576	0.00467215291288368	0.454611825205162
ENSG00000281131	-4.3578751830128	0.00455748180136031	0.454611825205162
ENSG00000173597	-1.37813296574581	0.0045282215097776	0.454611825205162
ENSG00000250853	0.930655815768171	0.00449029448431469	0.454611825205162
ENSG00000135298	1.25486428580553	0.00466894539382966	0.454611825205162
ENSG00000227666	1.1898264692619	0.0046826546020265	0.454611825205162
ENSG00000150051	1.37441273484938	0.00464251751082626	0.454611825205162
ENSG00000273149	-1.1180313565419	0.0046232374020929	0.454611825205162
ENSG00000197930	-0.921260855046137	0.00453904190542374	0.454611825205162
ENSG00000261123	0.839829489074744	0.00446942240999361	0.454611825205162
ENSG00000250514	-3.43116844902532	0.00465218778076705	0.454611825205162
ENSG00000273216	-1.10120605760327	0.00464924318130997	0.454611825205162
ENSG00000251322	0.770210022253262	0.00446249280618503	0.454611825205162
ENSG00000224773	-5.05192321965458	0.00472654736650459	0.457268668125229
ENSG00000233936	3.02211110268344	0.00478196493401557	0.461018075816296
ENSG00000176571	2.51292517697106	0.00484664996991129	0.462538998329403
