logFC	P.Value	adj.P.Val	sig_adjP_lfc1	sig_pval_lfc1	sig_adjP_lfc2	sig_pval_lfc2	sig_adjP_lfc3	sig_pval_lfc3
RHOC	-0.562200831507745	0.0240015643434835	0.921420583877252	-	-	-	-	-	-
GTF3C5	-0.573273972647587	0.0240433942550996	0.921420583877252	-	-	-	-	-	-
TEX264	0.760776318394072	0.0248417808270177	0.94249716457705	-	-	-	-	-	-
DHCR7	0.863623416240701	0.0250983792536545	0.94280446424124	-	-	-	-	-	-
PTGS1	1.11378887728059	0.0256883268263309	0.944274831590829	-	+	-	-	-	-
RAB31	-1.26300618346112	0.026568583336984	0.944274831590829	-	+	-	-	-	-
IRS2	-1.17939061106689	0.0266297930054031	0.944274831590829	-	+	-	-	-	-
MDK	-1.41586831237043	0.0266635953565055	0.944274831590829	-	+	-	-	-	-
IFI16	-1.12829858732965	0.0266719800056416	0.944274831590829	-	+	-	-	-	-
TOR3A	-0.620521388978864	0.026824864295294	0.944274831590829	-	-	-	-	-	-
WDR83OS	0.555568074995134	0.0268797263605191	0.944274831590829	-	-	-	-	-	-
HECTD3	0.629690059187864	0.0280193798378233	0.971395001212652	-	-	-	-	-	-
RNF123	0.509466806707477	0.0282140198717653	0.971395001212652	-	-	-	-	-	-
FBL	0.671181460365211	0.0287926090680761	0.971395001212652	-	-	-	-	-	-
ATP5MC1	0.641046026856203	0.0295215672285086	0.971395001212652	-	-	-	-	-	-
RASSF1	0.455403898767767	0.0302083877517324	0.971395001212652	-	-	-	-	-	-
ALDH18A1	-0.590846726124032	0.0302930502870143	0.971395001212652	-	-	-	-	-	-
RPS23	-0.676852287946028	0.0313694428907108	0.971395001212652	-	-	-	-	-	-
RFNG	0.657007396498527	0.0320129059253229	0.971395001212652	-	-	-	-	-	-
EBAG9	0.981557971639779	0.0321867276341248	0.971395001212652	-	-	-	-	-	-
KBTBD2	-0.624438789274942	0.0327364132103933	0.971395001212652	-	-	-	-	-	-
SLC17A5	-0.62896081238113	0.0328611976807743	0.971395001212652	-	-	-	-	-	-
ADIRF	2.51903256628422	0.0334551516521898	0.971395001212652	-	+	-	+	-	-
PDXK	0.484174793102324	0.0340306172775997	0.971395001212652	-	-	-	-	-	-
